ISBN,Name,author_id,Authors,Year,Publisher,Image
195153448,Classical Mythology ,1,Mark P. O. Morford ,2002,Oxford University Press ,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
2005018,Clara Callan ,2,Richard Bruce Wright ,2001,HarperFlamingo Canada ,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
60973129,Decision in Normandy ,3,Carlo D'Este ,1991,HarperPerennial ,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,4,Gina Bari Kolata ,1999,Farrar Straus Giroux ,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
393045218,The Mummies of Urumchi ,5,E. J. W. Barber ,1999,"W. W. Norton &amp , Company ",http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
399135782,The Kitchen God's Wife ,6,Amy Tan ,1991,Putnam Pub Group ,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been ,7,Robert Cowley ,2000,Berkley Publishing Group ,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
671870432,PLEADING GUILTY ,8,Scott Turow ,1993,Audioworks ,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates ,9,David Cordingly ,1996,Random House ,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
771074670,Nights Below Station Street ,10,David Adams Richards ,1988,Emblem Editions ,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
887841740,The Middle Stories ,11,Sheila Heti ,2004,House of Anansi Press ,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
1552041778,Jane Doe ,12,R. J. Kaiser ,1999,Mira Books ,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series) ,13,Jack Canfield ,1998,Health Communications ,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
1567407781,The Witchfinder (Amos Walker Mystery Series) ,14,Loren D. Estleman ,1998,Brilliance Audio - Trade ,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg
1575663937,More Cunning Than Man: A Social History of Rats and Man ,15,Robert Hendrickson ,1999,Kensington Publishing Corp. ,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
1881320189,Goodbye to the Buttermilk Sky ,16,Julia Oliver ,1994,River City Pub ,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg
440234743,The Testament ,17,John Grisham ,1999,Dell ,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
452264464,Beloved (Plume Contemporary Fiction) ,18,Toni Morrison ,1994,Plume ,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,19,The Onion ,1999,Three Rivers Press ,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion ,20,Celia Brooks Brown ,2001,"Ryland Peters &amp , Small Ltd ",http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself ,21,J. R. Parrish ,2003,Cypress House ,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg
61076031,"Mary-Kate &amp , Ashley Switching Goals (Mary-Kate and Ashley Starring in) ",22,Mary-Kate,2000,HarperEntertainment ,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg
439095026,Tell Me This Isn't Happening ,23,Robynn Clairday ,1999,Scholastic ,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg
689821166,Flood : Mississippi 1927,24,Kathleen Duey ,1998,Aladdin ,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg
971880107,Wild Animus ,25,Rich Shapero ,2004,Too Far ,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
345402871,Airframe ,26,Michael Crichton ,1997,Ballantine Books ,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
345417623,Timeline ,26,MICHAEL CRICHTON ,2000,Ballantine Books ,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
684823802,OUT OF THE SILENT PLANET ,27,C.S. Lewis ,1996,Scribner ,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg
375759778,Prague : A Novel ,28,ARTHUR PHILLIPS ,2003,Random House Trade Paperbacks ,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
425163091,Chocolate Jesus ,29,Stephan Jaramillo ,1998,Berkley Publishing Group ,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman. ,30,Eleanor Cooney ,2001,Goldmann ,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg
3442410665,Sturmzeit. Roman. ,31,Charlotte Link ,1991,Goldmann ,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg
3442446937,Tage der Unschuld. ,32,Richard North Patterson ,2000,Goldmann ,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg
375406328,Lying Awake ,33,Mark Salzman ,2000,Alfred A. Knopf ,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
446310786,To Kill a Mockingbird ,34,Harper Lee ,1988,"Little Brown &amp , Company ",http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
449005615,Seabiscuit: An American Legend ,35,LAURA HILLENBRAND ,2002,Ballantine Books ,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
60168013,Pigs in Heaven ,36,Barbara Kingsolver ,1993,Harpercollins ,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
61099686,Downtown ,37,Anne Rivers Siddons ,1995,HarperTorch ,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
553582909,Icebound ,38,Dean R. Koontz ,2000,Bantam Books ,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
671888587,I'll Be Seeing You ,39,Mary Higgins Clark ,1994,Pocket ,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
553582747,From the Corner of His Eye ,40,Dean Koontz ,2001,Bantam Books ,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
425182908,Isle of Dogs ,41,Patricia Cornwell ,2002,Berkley Publishing Group ,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
440223571,This Year It Will Be Different: And Other Stories ,42,Maeve Binchy ,1997,Dell ,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
812523873,Proxies ,43,Laura J. Mixon ,1999,Tor Books ,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),44,Tim Lahaye ,2000,Tyndale House Publishers ,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
440225701,The Street Lawyer ,17,JOHN GRISHAM ,1999,Dell ,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
60914068,"Love , Medicine and Miracles ",45,M.D. Bernie S. Siegel ,1988,HarperCollins Publishers ,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg
156047624,All the King's Men ,46,Robert Penn Warren ,1982,Harvest Books ,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg
245542957,Pacific Northwest ,47,Hans Johannes Hoefer ,1985,Chambers Harrap Publishers Ltd ,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg
380715899,A Soldier of the Great War ,48,Mark Helprin ,1992,Avon Books ,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg
553280333,Getting Well Again ,49,O. Carol Simonton Md ,1992,Bantam ,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg
961769947,Northwest Wines and Wineries ,50,Chuck Hill ,1993,Speed Graphics ,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg
964778319,An Atmosphere of Eternity: Stories of India ,51,David Iglehart ,2002,Sunflower Press ,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg
671623249,LONESOME DOVE ,52,Larry McMurtry ,1986,Pocket ,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg
679810307,Shabanu: Daughter of the Wind (Border Trilogy) ,53,SUZANNE FISHER STAPLES ,1991,Laurel Leaf ,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg
679865691,Haveli (Laurel Leaf Books) ,53,SUZANNE FISHER STAPLES ,1995,Laurel Leaf ,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg
2070423204,Lieux dits ,54,Michel Tournier ,2002,Gallimard ,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence ,55,Carl Sagan ,1978,Ballantine Books ,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg
394743741,The yawning heights ,56,Aleksandr Zinoviev ,1980,Random House ,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg
804106304,The Joy Luck Club ,6,Amy Tan ,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
1853262404,Heart of Darkness (Wordsworth Collection) ,57,Joseph Conrad ,1998,NTC/Contemporary Publishing Company ,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg
312970242,The Angel Is Near ,58,Deepak Chopra ,2000,St. Martin's Press ,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg
1853260053,Tess of the D'Urbervilles (Wordsworth Classics) ,59,Thomas Hardy ,1997,NTC/Contemporary Publishing Company ,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg
1414035004,The Adventures of Drew and Ellie: The Magical Dress ,60,Charles Noland ,2003,1stBooks Library,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg
60938412,The Accidental Virgin ,61,Valerie Frankel ,2003,Avon Trade ,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg
140067477,The Tao of Pooh ,62,Benjamin Hoff ,1983,Penguin Books ,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
345465083,Seabiscuit ,35,LAURA HILLENBRAND ,2003,Ballantine Books ,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
451625889,The Prince ,63,Niccolo Machiavelli ,1952,Signet Book ,http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) ,64,H. Jackson Brown ,1991,Thomas Nelson ,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg
441783589,Starship Troopers ,65,Robert A. Heinlein ,1987,Ace Books ,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy , Book 1)",66,PHILIP PULLMAN ,1988,Laurel Leaf ,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg
1569871213,Black Beauty (Illustrated Classics) ,67,Anna Sewell ,1995,Landoll ,http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg
375410538,Anil's Ghost ,68,MICHAEL ONDAATJE ,2000,Knopf ,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg
