Authors
Mark P. O. Morford 
Richard Bruce Wright 
Carlo D'Este 
Gina Bari Kolata 
E. J. W. Barber 
Amy Tan 
Robert Cowley 
Scott Turow 
David Cordingly 
David Adams Richards 
Sheila Heti 
R. J. Kaiser 
Jack Canfield 
Loren D. Estleman 
Robert Hendrickson 
Julia Oliver 
John Grisham 
Toni Morrison 
The Onion 
Celia Brooks Brown 
J. R. Parrish 
"Mary-Kate &amp , Ashley Olsen "
Robynn Clairday 
Kathleen Duey 
Rich Shapero 
Michael Crichton 
MICHAEL CRICHTON 
C.S. Lewis 
ARTHUR PHILLIPS 
Stephan Jaramillo 
Eleanor Cooney 
Charlotte Link 
Richard North Patterson 
Mark Salzman 
Harper Lee 
LAURA HILLENBRAND 
Barbara Kingsolver 
Anne Rivers Siddons 
Dean R. Koontz 
Mary Higgins Clark 
Dean Koontz 
Patricia Cornwell 
Maeve Binchy 
Laura J. Mixon 
Tim Lahaye 
JOHN GRISHAM 
M.D. Bernie S. Siegel 
Robert Penn Warren 
Hans Johannes Hoefer 
Mark Helprin 
O. Carol Simonton Md 
Chuck Hill 
David Iglehart 
Larry McMurtry 
SUZANNE FISHER STAPLES 
SUZANNE FISHER STAPLES 
Michel Tournier 
Carl Sagan 
Aleksandr Zinoviev 
Amy Tan 
Joseph Conrad 
Deepak Chopra 
Thomas Hardy 
Charles Noland 
Valerie Frankel 
Benjamin Hoff 
LAURA HILLENBRAND 
Niccolo Machiavelli 
H. Jackson Brown 
Robert A. Heinlein 
PHILIP PULLMAN 
Anna Sewell 
MICHAEL ONDAATJE 
